ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
LDA,TF-IDF,960,139.40208,Yes,No,Yes,30,0.6031,0.5997,0.5554,0.6484
QDA,TF-IDF,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
MDA,TF-IDF,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
FDA,TF-IDF,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
Tree,TF-IDF,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
RF,TF-IDF,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,444,88.98372,Yes,No,Yes,60,0.6048,0.611,0.574,0.6354
LDA,TF-IDF,444,38.67022,Yes,No,Yes,60,0.6021,0.6092,0.567,0.6372
QDA,TF-IDF,444,NA,Yes,No,Yes,60,NA,NA,NA,NA
MDA,TF-IDF,444,NA,Yes,No,Yes,60,NA,NA,NA,NA
FDA,TF-IDF,444,NA,Yes,No,Yes,60,NA,NA,NA,NA
Tree,TF-IDF,444,42.76184,Yes,No,Yes,60,0.5528,0.6065,0.2979,0.8072
RF,TF-IDF,444,209231.1648,Yes,No,Yes,60,0.6074,0.6204,0.5511,0.6635
LogisticRegression,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
LDA,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
QDA,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
MDA,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
FDA,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
Tree,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
RF,TF-IDF,17650,NA,Yes,No,No,0,NA,NA,NA,NA
LogisticRegression,TF-IDF,4896,95602.1184,Yes,No,No,5,0.5488,0.5531,0.5247,0.573
LDA,TF-IDF,4896,3094.1736,Yes,No,No,5,0.5684,0.575,0.5357,0.6014
QDA,TF-IDF,4896,NA,Yes,No,No,5,NA,NA,NA,NA
MDA,TF-IDF,4896,NA,Yes,No,No,5,NA,NA,NA,NA
FDA,TF-IDF,4896,NA,Yes,No,No,5,NA,NA,NA,NA
Tree,TF-IDF,4896,NA,Yes,No,No,5,NA,NA,NA,NA
RF,TF-IDF,4896,NA,Yes,No,No,5,NA,NA,NA,NA
LogisticRegression,TF-IDF,1031,735.051,Yes,No,No,30,0.6071,0.6002,0.5831,0.6299
LDA,TF-IDF,1031,186.84234,Yes,No,No,30,0.6088,0.6026,0.5825,0.6338
QDA,TF-IDF,1031,NA,Yes,No,No,30,NA,NA,NA,NA
MDA,TF-IDF,1031,NA,Yes,No,No,30,NA,NA,NA,NA
FDA,TF-IDF,1031,NA,Yes,No,No,30,NA,NA,NA,NA
Tree,TF-IDF,1031,NA,Yes,No,No,30,NA,NA,NA,NA
RF,TF-IDF,1031,NA,Yes,No,No,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,487,142.24074,Yes,No,No,60,0.6109,0.6202,0.5768,0.6452
LDA,TF-IDF,487,38.86841,Yes,No,No,60,0.6097,0.619,0.5756,0.644
QDA,TF-IDF,487,NA,Yes,No,No,60,NA,NA,NA,NA
MDA,TF-IDF,487,NA,Yes,No,No,60,NA,NA,NA,NA
FDA,TF-IDF,487,NA,Yes,No,No,60,NA,NA,NA,NA
Tree,TF-IDF,487,NA,Yes,No,No,60,NA,NA,NA,NA
RF,TF-IDF,487,NA,Yes,No,No,60,NA,NA,NA,NA
LogisticRegression,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
LDA,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
QDA,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
