ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
Tree,CBoW300,300,28.96593,No,Yes,Yes,30,0.5733,0.5639,0.6008,0.5465
RF,CBoW300,300,35247.3012,No,Yes,Yes,30,0.6065,0.6016,0.602,0.611
LogisticRegression,CBoW300,300,39.03718,No,Yes,Yes,60,0.6125,0.6035,0.6275,0.5978
LDA,CBoW300,300,18.60006,No,Yes,Yes,60,0.6145,0.6053,0.6304,0.599
QDA,CBoW300,300,9.324428,No,Yes,Yes,60,0.6084,0.5959,0.6433,0.5744
MDA,CBoW300,300,186.71964,No,Yes,Yes,60,0.6009,0.5898,0.6298,0.5727
FDA,CBoW300,300,113.83038,No,Yes,Yes,60,0.609,0.5945,0.655,0.5642
Tree,CBoW300,300,28.94326,No,Yes,Yes,60,0.5894,0.5927,0.5386,0.6389
RF,CBoW300,300,35177.166,No,Yes,Yes,60,0.6139,0.6119,0.5965,0.6309
LogisticRegression,CBoW300,300,39.20895,No,Yes,No,0,0.6059,0.6046,0.5845,0.6269
LDA,CBoW300,300,18.60432,No,Yes,No,0,0.6051,0.6039,0.5827,0.6269
QDA,CBoW300,300,9.279184,No,Yes,No,0,0.6071,0.6369,0.4757,0.7353
MDA,CBoW300,300,189.72114,No,Yes,No,0,0.5987,0.5971,0.5769,0.6201
FDA,CBoW300,300,114.18288,No,Yes,No,0,0.5979,0.5949,0.5827,0.6127
Tree,CBoW300,300,28.73884,No,Yes,No,0,0.5788,0.5782,0.5447,0.6121
RF,CBoW300,300,35111.3328,No,Yes,No,0,0.6186,0.61,0.6318,0.6058
LogisticRegression,CBoW300,300,39.21813,No,Yes,No,5,0.6097,0.6049,0.6049,0.6144
LDA,CBoW300,300,18.52671,No,Yes,No,5,0.6094,0.6043,0.6061,0.6127
QDA,CBoW300,300,9.296691,No,Yes,No,5,0.6132,0.6143,0.5827,0.6429
MDA,CBoW300,300,189.44784,No,Yes,No,5,0.6129,0.6091,0.6037,0.6218
FDA,CBoW300,300,115.00068,No,Yes,No,5,0.5987,0.5905,0.6119,0.5859
Tree,CBoW300,300,28.37952,No,Yes,No,5,0.5742,0.5533,0.716,0.4358
RF,CBoW300,300,34954.3188,No,Yes,No,5,0.6097,0.6004,0.6271,0.5927
LogisticRegression,CBoW300,300,39.93123,No,Yes,No,30,0.6103,0.6042,0.6119,0.6087
LDA,CBoW300,300,18.89001,No,Yes,No,30,0.6103,0.6034,0.6154,0.6052
QDA,CBoW300,300,9.430568,No,Yes,No,30,0.6091,0.5979,0.6371,0.5819
MDA,CBoW300,300,194.21226,No,Yes,No,30,0.5967,0.5867,0.6207,0.5733
FDA,CBoW300,300,115.94232,No,Yes,No,30,0.61,0.5957,0.6546,0.5665
Tree,CBoW300,300,28.75485,No,Yes,No,30,0.5777,0.5662,0.6201,0.5362
RF,CBoW300,300,35373.528,No,Yes,No,30,0.6152,0.61,0.6125,0.6178
LogisticRegression,CBoW300,300,39.21564,No,Yes,No,60,0.6088,0.6011,0.6184,0.5995
LDA,CBoW300,300,18.66506,No,Yes,No,60,0.6083,0.5994,0.6236,0.5933
QDA,CBoW300,300,9.365208,No,Yes,No,60,0.6019,0.59,0.6359,0.5687
MDA,CBoW300,300,179.70828,No,Yes,No,60,0.5958,0.5827,0.6406,0.5522
FDA,CBoW300,300,114.91548,No,Yes,No,60,0.5921,0.5781,0.6447,0.5408
Tree,CBoW300,300,29.08615,No,Yes,No,60,0.5921,0.5725,0.6873,0.4991
RF,CBoW300,300,35251.5276,No,Yes,No,60,0.6218,0.6158,0.623,0.6207
LogisticRegression,CBoW300,300,39.20025,No,No,Yes,0,0.5993,0.6002,0.5652,0.6326
LDA,CBoW300,300,18.66868,No,No,Yes,0,0.6013,0.6024,0.5675,0.6343
QDA,CBoW300,300,9.346733,No,No,Yes,0,0.6025,0.6406,0.4448,0.7564
MDA,CBoW300,300,187.45236,No,No,Yes,0,0.601,0.6015,0.5698,0.6315
FDA,CBoW300,300,114.8415,No,No,Yes,0,0.6103,0.6055,0.6055,0.6149
Tree,CBoW300,300,28.44058,No,No,Yes,0,0.5823,0.5851,0.5307,0.6326
RF,CBoW300,300,34797.8448,No,No,Yes,0,0.6169,0.6116,0.6148,0.6189
LogisticRegression,CBoW300,300,39.19857,No,No,Yes,5,0.6054,0.6031,0.588,0.6224
LDA,CBoW300,300,18.76014,No,No,Yes,5,0.6094,0.6069,0.5938,0.6246
QDA,CBoW300,300,9.401866,No,No,Yes,5,0.6192,0.6213,0.5868,0.6509
MDA,CBoW300,300,182.29938,No,No,Yes,5,0.6103,0.6093,0.588,0.6321
FDA,CBoW300,300,114.35214,No,No,Yes,5,0.6022,0.5999,0.5845,0.6195
Tree,CBoW300,300,28.22441,No,No,Yes,5,0.5719,0.5623,0.6014,0.5431
RF,CBoW300,300,34854.3864,No,No,Yes,5,0.621,0.6135,0.6289,0.6132
LogisticRegression,CBoW300,300,39.2902,No,No,Yes,30,0.6185,0.6146,0.6099,0.6269
LDA,CBoW300,300,18.77011,No,No,Yes,30,0.6159,0.6112,0.6105,0.6212
QDA,CBoW300,300,9.366367,No,No,Yes,30,0.6206,0.6119,0.6333,0.6081
MDA,CBoW300,300,197.69184,No,No,Yes,30,0.6064,0.5973,0.6228,0.5904
FDA,CBoW300,300,114.46806,No,No,Yes,30,0.6029,0.5919,0.631,0.5756
Tree,CBoW300,300,28.77586,No,No,Yes,30,0.5807,0.579,0.5526,0.6081
RF,CBoW300,300,35076.924,No,No,Yes,30,0.6185,0.6156,0.6058,0.6309
LogisticRegression,CBoW300,300,65.41338,No,No,Yes,60,0.6302,0.6218,0.6407,0.6199
LDA,CBoW300,300,26.28638,No,No,Yes,60,0.6296,0.6204,0.6437,0.6159
QDA,CBoW300,300,14.9113,No,No,Yes,60,0.6108,0.5976,0.6483,0.5742
MDA,CBoW300,300,290.39658,No,No,Yes,60,0.6114,0.6001,0.6384,0.585
FDA,CBoW300,300,173.05512,No,No,Yes,60,0.5995,0.5863,0.6419,0.5582
Tree,CBoW300,300,44.45815,No,No,Yes,60,0.5874,0.5682,0.6852,0.492
RF,CBoW300,300,49054.824,No,No,Yes,60,0.6284,0.6264,0.6132,0.6433
LogisticRegression,CBoW300,300,39.79815,No,No,No,0,0.6051,0.6035,0.5845,0.6252
LDA,CBoW300,300,18.87339,No,No,No,0,0.6025,0.601,0.5809,0.6235
QDA,CBoW300,300,9.429507,No,No,No,0,0.6135,0.653,0.4641,0.7593
MDA,CBoW300,300,196.30584,No,No,No,0,0.6068,0.6075,0.5763,0.6366
FDA,CBoW300,300,114.99984,No,No,No,0,0.5967,0.593,0.585,0.6081
Tree,CBoW300,300,28.46673,No,No,No,0,0.5843,0.5709,0.6376,0.5322
RF,CBoW300,300,35010.0972,No,No,No,0,0.6149,0.6062,0.6289,0.6013
LogisticRegression,CBoW300,300,68.02032,No,No,No,5,0.6103,0.6061,0.6026,0.6178
LDA,CBoW300,300,28.67792,No,No,No,5,0.6088,0.6046,0.6014,0.6161
QDA,CBoW300,300,15.25909,No,No,No,5,0.6074,0.6053,0.5897,0.6246
MDA,CBoW300,300,327.08574,No,No,No,5,0.6111,0.6036,0.6195,0.603
FDA,CBoW300,300,166.59738,No,No,No,5,0.5976,0.5888,0.6143,0.5813
Tree,CBoW300,300,47.05563,No,No,No,5,0.5924,0.5879,0.5845,0.6001
RF,CBoW300,300,51270.516,No,No,No,5,0.6163,0.6088,0.6248,0.6081
LogisticRegression,CBoW300,300,71.72712,No,No,No,30,0.6172,0.6104,0.6219,0.6127
LDA,CBoW300,300,33.07183,No,No,No,30,0.6135,0.606,0.6213,0.6058
QDA,CBoW300,300,17.74825,No,No,No,30,0.6172,0.6062,0.6423,0.5927
MDA,CBoW300,300,354.71442,No,No,No,30,0.6085,0.5991,0.6271,0.5904
FDA,CBoW300,300,315.70686,No,No,No,30,0.5961,0.5841,0.633,0.5602
Tree,CBoW300,300,47.55838,No,No,No,30,0.586,0.5711,0.6505,0.5231
RF,CBoW300,300,54370.548,No,No,No,30,0.6149,0.6111,0.6061,0.6235
LogisticRegression,CBoW300,300,50.66211,No,No,No,60,0.6164,0.6104,0.6175,0.6153
LDA,CBoW300,300,22.27344,No,No,No,60,0.6158,0.6086,0.6228,0.609
QDA,CBoW300,300,11.94511,No,No,No,60,0.6054,0.5956,0.6269,0.5845
MDA,CBoW300,300,256.6947,No,No,No,60,0.6031,0.5919,0.6327,0.5742
FDA,CBoW300,300,119.34144,No,No,No,60,0.5893,0.5796,0.6129,0.5662
Tree,CBoW300,300,37.91242,No,No,No,60,0.5794,0.5709,0.5982,0.5611
RF,CBoW300,300,48125.736,No,No,No,60,0.6254,0.6271,0.5959,0.6541
LogisticRegression,CBoW200,200,11.875884,Yes,Yes,Yes,0,0.5915,0.5919,0.557,0.6252
LDA,CBoW200,200,10.12593,Yes,Yes,Yes,0,0.5918,0.5937,0.55,0.6326
QDA,CBoW200,200,5.901762,Yes,Yes,Yes,0,0.5895,0.6278,0.415,0.7598
MDA,CBoW200,200,125.82168,Yes,Yes,Yes,0,0.5901,0.5986,0.5161,0.6623
FDA,CBoW200,200,88.26546,Yes,Yes,Yes,0,0.5756,0.5731,0.5523,0.5984
Tree,CBoW200,200,19.54327,Yes,Yes,Yes,0,0.5537,0.5483,0.547,0.5602
RF,CBoW200,200,24257.5452,Yes,Yes,Yes,0,0.6031,0.5996,0.5909,0.6149
LogisticRegression,CBoW200,200,11.82126,Yes,Yes,Yes,5,0.6122,0.6084,0.6037,0.6204
LDA,CBoW200,200,9.895106,Yes,Yes,Yes,5,0.611,0.6071,0.6032,0.6187
QDA,CBoW200,200,6.091279,Yes,Yes,Yes,5,0.6154,0.6134,0.5991,0.6313
MDA,CBoW200,200,120.20922,Yes,Yes,Yes,5,0.6102,0.5999,0.6335,0.5873
FDA,CBoW200,200,85.6671,Yes,Yes,Yes,5,0.594,0.59,0.5845,0.6033
Tree,CBoW200,200,19.97032,Yes,Yes,Yes,5,0.5744,0.5733,0.5418,0.6062
RF,CBoW200,200,24378.03,Yes,Yes,Yes,5,0.6151,0.6122,0.6026,0.6273
LogisticRegression,CBoW200,200,11.66142,Yes,Yes,Yes,30,0.6054,0.5953,0.6234,0.5878
LDA,CBoW200,200,9.76688,Yes,Yes,Yes,30,0.6057,0.5951,0.6264,0.5855
QDA,CBoW200,200,5.830775,Yes,Yes,Yes,30,0.603,0.585,0.6702,0.5377
MDA,CBoW200,200,108.13374,Yes,Yes,Yes,30,0.5937,0.5815,0.6276,0.5607
FDA,CBoW200,200,79.27272,Yes,Yes,Yes,30,0.5943,0.5836,0.6181,0.5711
Tree,CBoW200,200,18.74664,Yes,Yes,Yes,30,0.5768,0.5783,0.5228,0.6292
RF,CBoW200,200,23612.2164,Yes,Yes,Yes,30,0.6153,0.6178,0.5761,0.6534
LogisticRegression,CBoW200,200,15.89852,Yes,Yes,Yes,60,0.603,0.5907,0.6092,0.5972
LDA,CBoW200,200,11.61018,Yes,Yes,Yes,60,0.6019,0.5892,0.6098,0.5943
QDA,CBoW200,200,6.78809,Yes,Yes,Yes,60,0.5977,0.5762,0.6661,0.5324
MDA,CBoW200,200,165.67002,Yes,Yes,Yes,60,0.6066,0.594,0.6147,0.5989
FDA,CBoW200,200,172.35468,Yes,Yes,Yes,60,0.5878,0.57,0.6349,0.5429
Tree,CBoW200,200,22.23311,Yes,Yes,Yes,60,0.5568,0.5394,0.6324,0.4885
RF,CBoW200,200,22138.6572,Yes,Yes,Yes,60,0.6195,0.6193,0.5731,0.6637
LogisticRegression,CBoW200,200,11.49175,Yes,Yes,No,0,0.5909,0.5895,0.5658,0.6155
LDA,CBoW200,200,9.884801,Yes,Yes,No,0,0.5886,0.5884,0.5564,0.6201
QDA,CBoW200,200,6.092313,Yes,Yes,No,0,0.5901,0.6192,0.4418,0.7347
MDA,CBoW200,200,111.8289,Yes,Yes,No,0,0.5829,0.5883,0.5178,0.6463
FDA,CBoW200,200,75.91122,Yes,Yes,No,0,0.5768,0.5718,0.5704,0.583
Tree,CBoW200,200,18.71524,Yes,Yes,No,0,0.5707,0.5616,0.5967,0.5454
RF,CBoW200,200,21850.7508,Yes,Yes,No,0,0.5973,0.5942,0.5827,0.6115
LogisticRegression,CBoW200,200,11.39892,Yes,Yes,No,5,0.6061,0.6006,0.6055,0.6067
LDA,CBoW200,200,9.960574,Yes,Yes,No,5,0.6093,0.6041,0.6072,0.6113
QDA,CBoW200,200,5.663156,Yes,Yes,No,5,0.6055,0.5998,0.6061,0.605
MDA,CBoW200,200,119.04018,Yes,Yes,No,5,0.6102,0.6032,0.6166,0.6039
FDA,CBoW200,200,76.0206,Yes,Yes,No,5,0.5986,0.5907,0.6108,0.5868
Tree,CBoW200,200,18.50993,Yes,Yes,No,5,0.5611,0.5672,0.4711,0.649
RF,CBoW200,200,21882.0924,Yes,Yes,No,5,0.6136,0.6109,0.6002,0.6267
LogisticRegression,CBoW200,200,11.40061,Yes,Yes,No,30,0.6166,0.6086,0.6237,0.6095
LDA,CBoW200,200,9.551523,Yes,Yes,No,30,0.6145,0.6063,0.6232,0.6061
QDA,CBoW200,200,5.399426,Yes,Yes,No,30,0.6084,0.5924,0.661,0.5572
MDA,CBoW200,200,96.61116,Yes,Yes,No,30,0.6061,0.599,0.6096,0.6026
FDA,CBoW200,200,72.44562,Yes,Yes,No,30,0.5932,0.5825,0.6196,0.5676
Tree,CBoW200,200,18.19827,Yes,Yes,No,30,0.5714,0.5766,0.4938,0.6469
RF,CBoW200,200,23072.6268,Yes,Yes,No,30,0.6148,0.6241,0.5511,0.6768
LogisticRegression,CBoW200,200,16.19178,Yes,Yes,No,60,0.6091,0.5987,0.6081,0.6101
LDA,CBoW200,200,12.61226,Yes,Yes,No,60,0.6089,0.5988,0.6057,0.6119
QDA,CBoW200,200,7.520528,Yes,Yes,No,60,0.5937,0.5752,0.6458,0.5439
MDA,CBoW200,200,135.66222,Yes,Yes,No,60,0.5866,0.5739,0.599,0.5747
FDA,CBoW200,200,93.3912,Yes,Yes,No,60,0.5979,0.585,0.6106,0.5857
Tree,CBoW200,200,26.83475,Yes,Yes,No,60,0.572,0.5591,0.5893,0.5555
RF,CBoW200,200,26263.116,Yes,Yes,No,60,0.6172,0.6228,0.5498,0.6816
LogisticRegression,CBoW200,200,11.65076,Yes,No,Yes,0,0.601,0.6015,0.5698,0.6315
LDA,CBoW200,200,9.432639,Yes,No,Yes,0,0.5976,0.5995,0.5582,0.6361
QDA,CBoW200,200,5.316051,Yes,No,Yes,0,0.588,0.6373,0.3852,0.7861
MDA,CBoW200,200,111.64632,Yes,No,Yes,0,0.5901,0.5875,0.571,0.6087
FDA,CBoW200,200,73.57578,Yes,No,Yes,0,0.5826,0.584,0.5383,0.6258
Tree,CBoW200,200,18.68604,Yes,No,Yes,0,0.554,0.5479,0.5552,0.5528
RF,CBoW200,200,23272.2468,Yes,No,Yes,0,0.6036,0.6022,0.5821,0.6246
LogisticRegression,CBoW200,200,13.1155,Yes,No,Yes,5,0.6019,0.5988,0.588,0.6155
LDA,CBoW200,200,8.867261,Yes,No,Yes,5,0.6036,0.6002,0.5915,0.6155
QDA,CBoW200,200,5.429673,Yes,No,Yes,5,0.6051,0.6033,0.5856,0.6241
MDA,CBoW200,200,105.51048,Yes,No,Yes,5,0.6031,0.6045,0.5681,0.6372
FDA,CBoW200,200,79.1928,Yes,No,Yes,5,0.593,0.588,0.588,0.5978
Tree,CBoW200,200,18.61951,Yes,No,Yes,5,0.5525,0.5366,0.6902,0.4181
RF,CBoW200,200,22288.8204,Yes,No,Yes,5,0.6135,0.6095,0.6049,0.6218
LogisticRegression,CBoW200,200,16.68967,Yes,No,Yes,30,0.6086,0.601,0.6155,0.6019
LDA,CBoW200,200,12.76671,Yes,No,Yes,30,0.606,0.5978,0.6161,0.5962
QDA,CBoW200,200,7.351633,Yes,No,Yes,30,0.6063,0.5901,0.662,0.5521
MDA,CBoW200,200,141.62298,Yes,No,Yes,30,0.606,0.5914,0.6526,0.5607
FDA,CBoW200,200,119.19912,Yes,No,Yes,30,0.5843,0.5775,0.5867,0.5819
Tree,CBoW200,200,24.67509,Yes,No,Yes,30,0.5608,0.545,0.6655,0.4588
RF,CBoW200,200,31971.348,Yes,No,Yes,30,0.6107,0.6141,0.5679,0.6523
LogisticRegression,CBoW200,200,10.98985,Yes,No,Yes,60,0.5941,0.5835,0.6055,0.583
LDA,CBoW200,200,9.103588,Yes,No,Yes,60,0.5952,0.5842,0.6097,0.5813
QDA,CBoW200,200,5.124485,Yes,No,Yes,60,0.5935,0.5759,0.6527,0.5363
MDA,CBoW200,200,96.126,Yes,No,Yes,60,0.59,0.571,0.6635,0.519
FDA,CBoW200,200,70.29918,Yes,No,Yes,60,0.5765,0.564,0.6055,0.5484
Tree,CBoW200,200,18.62723,Yes,No,Yes,60,0.5741,0.5887,0.4405,0.703
RF,CBoW200,200,31856.436,Yes,No,Yes,60,0.6087,0.6115,0.5571,0.6586
LogisticRegression,CBoW200,200,11.25785,Yes,No,No,0,0.5909,0.5886,0.571,0.6104
LDA,CBoW200,200,9.376679,Yes,No,No,0,0.5878,0.586,0.5634,0.6115
QDA,CBoW200,200,5.607352,Yes,No,No,0,0.5924,0.6288,0.4267,0.7541
MDA,CBoW200,200,106.10538,Yes,No,No,0,0.5915,0.5964,0.5354,0.6463
FDA,CBoW200,200,74.11512,Yes,No,No,0,0.5742,0.5695,0.5652,0.583
Tree,CBoW200,200,18.33292,Yes,No,No,0,0.5684,0.5627,0.5663,0.5705
RF,CBoW200,200,23153.3244,Yes,No,No,0,0.5993,0.5945,0.5938,0.6047
LogisticRegression,CBoW200,200,15.14677,Yes,No,No,5,0.5982,0.5933,0.5926,0.6035
LDA,CBoW200,200,12.49408,Yes,No,No,5,0.597,0.5918,0.5932,0.6007
QDA,CBoW200,200,6.995202,Yes,No,No,5,0.6016,0.5965,0.5979,0.6052
MDA,CBoW200,200,118.6245,Yes,No,No,5,0.6016,0.6005,0.578,0.6246
FDA,CBoW200,200,84.41856,Yes,No,No,5,0.5932,0.5833,0.6178,0.5693
Tree,CBoW200,200,22.25193,Yes,No,No,5,0.5713,0.5762,0.4991,0.6418
RF,CBoW200,200,30695.5908,Yes,No,No,5,0.6013,0.5969,0.5938,0.6087
LogisticRegression,CBoW200,200,19.37624,Yes,No,No,30,0.6174,0.6044,0.6498,0.5858
LDA,CBoW200,200,14.55632,Yes,No,No,30,0.6119,0.5991,0.6445,0.5801
QDA,CBoW200,200,7.839664,Yes,No,No,30,0.5974,0.5824,0.6498,0.5463
MDA,CBoW200,200,167.34702,Yes,No,No,30,0.5974,0.5827,0.6481,0.5481
FDA,CBoW200,200,110.92842,Yes,No,No,30,0.6087,0.596,0.6422,0.5761
Tree,CBoW200,200,24.12243,Yes,No,No,30,0.5739,0.5707,0.5499,0.5973
RF,CBoW200,200,32216.922,Yes,No,No,30,0.6252,0.63,0.5823,0.667
LogisticRegression,CBoW200,200,20.86855,Yes,No,No,60,0.6033,0.5924,0.6164,0.5906
LDA,CBoW200,200,13.3931,Yes,No,No,60,0.6015,0.5906,0.6152,0.5883
QDA,CBoW200,200,8.396809,Yes,No,No,60,0.5974,0.5773,0.6742,0.5233
MDA,CBoW200,200,160.1001,Yes,No,No,60,0.5954,0.5823,0.6236,0.5681
FDA,CBoW200,200,123.1185,Yes,No,No,60,0.5793,0.5656,0.6188,0.5411
Tree,CBoW200,200,29.59286,Yes,No,No,60,0.567,0.5562,0.5867,0.548
RF,CBoW200,200,35880.8112,Yes,No,No,60,0.6009,0.6036,0.5468,0.6532
LogisticRegression,CBoW200,200,11.38592,No,Yes,Yes,0,0.6126,0.613,0.585,0.6395
LDA,CBoW200,200,9.575487,No,Yes,Yes,0,0.6123,0.6133,0.5821,0.6418
QDA,CBoW200,200,5.688896,No,Yes,Yes,0,0.5999,0.6316,0.4559,0.7404
MDA,CBoW200,200,108.09414,No,Yes,Yes,0,0.6071,0.605,0.5891,0.6246
FDA,CBoW200,200,74.0244,No,Yes,Yes,0,0.5872,0.5835,0.5739,0.6001
Tree,CBoW200,200,18.64674,No,Yes,Yes,0,0.5774,0.576,0.547,0.607
RF,CBoW200,200,23219.5968,No,Yes,Yes,0,0.6077,0.6015,0.6096,0.6058
LogisticRegression,CBoW200,200,29.71567,No,Yes,Yes,5,0.6013,0.598,0.5885,0.6138
LDA,CBoW200,200,17.02112,No,Yes,Yes,5,0.6039,0.6006,0.5915,0.6161
QDA,CBoW200,200,11.18133,No,Yes,Yes,5,0.6094,0.6087,0.5856,0.6326
MDA,CBoW200,200,221.94558,No,Yes,Yes,5,0.6019,0.5979,0.5926,0.611
FDA,CBoW200,200,203.18862,No,Yes,Yes,5,0.5883,0.5804,0.6014,0.5756
Tree,CBoW200,200,34.50501,No,Yes,Yes,5,0.5525,0.5463,0.5552,0.5499
RF,CBoW200,200,33039.7776,No,Yes,Yes,5,0.6152,0.6069,0.6271,0.6035
LogisticRegression,CBoW200,200,11.36568,No,Yes,Yes,30,0.612,0.6063,0.6119,0.6121
LDA,CBoW200,200,9.52847,No,Yes,Yes,30,0.6085,0.6023,0.6108,0.6064
QDA,CBoW200,200,5.614248,No,Yes,Yes,30,0.6019,0.5873,0.6528,0.5522
MDA,CBoW200,200,105.08034,No,Yes,Yes,30,0.6042,0.5935,0.6306,0.5784
FDA,CBoW200,200,74.38158,No,Yes,Yes,30,0.5958,0.5862,0.6178,0.5744
Tree,CBoW200,200,18.76031,No,Yes,Yes,30,0.5748,0.5829,0.4892,0.6583
RF,CBoW200,200,23322.8232,No,Yes,Yes,30,0.6036,0.5998,0.5938,0.6132
LogisticRegression,CBoW200,200,11.24443,No,Yes,Yes,60,0.6171,0.6081,0.6316,0.603
LDA,CBoW200,200,9.435735,No,Yes,Yes,60,0.6159,0.6056,0.6374,0.595
QDA,CBoW200,200,5.457938,No,Yes,Yes,60,0.6038,0.589,0.6538,0.555
MDA,CBoW200,200,99.52008,No,Yes,Yes,60,0.5992,0.588,0.6292,0.5699
FDA,CBoW200,200,73.65192,No,Yes,Yes,60,0.6003,0.5881,0.6363,0.5653
Tree,CBoW200,200,18.57769,No,Yes,Yes,60,0.5801,0.584,0.5205,0.6383
RF,CBoW200,200,23288.6268,No,Yes,Yes,60,0.6154,0.6132,0.5988,0.6315
LogisticRegression,CBoW200,200,11.09842,No,Yes,No,0,0.6042,0.6032,0.5809,0.6269
LDA,CBoW200,200,9.613513,No,Yes,No,0,0.6016,0.601,0.5757,0.6269
QDA,CBoW200,200,5.445894,No,Yes,No,0,0.5993,0.6287,0.4611,0.7342
MDA,CBoW200,200,102.09552,No,Yes,No,0,0.6016,0.604,0.5617,0.6406
FDA,CBoW200,200,74.48856,No,Yes,No,0,0.5863,0.5801,0.5885,0.5841
Tree,CBoW200,200,18.41127,No,Yes,No,0,0.5826,0.5738,0.602,0.5636
RF,CBoW200,200,23157.9036,No,Yes,No,0,0.6161,0.6071,0.6312,0.6013
LogisticRegression,CBoW200,200,11.5377,No,Yes,No,5,0.6019,0.5965,0.5996,0.6041
LDA,CBoW200,200,9.394045,No,Yes,No,5,0.6008,0.5949,0.6008,0.6007
QDA,CBoW200,200,5.328256,No,Yes,No,5,0.6094,0.6065,0.5956,0.6229
MDA,CBoW200,200,104.60958,No,Yes,No,5,0.6057,0.5972,0.6195,0.5921
FDA,CBoW200,200,73.85988,No,Yes,No,5,0.595,0.586,0.6131,0.5773
Tree,CBoW200,200,18.44359,No,Yes,No,5,0.5863,0.5796,0.5915,0.5813
RF,CBoW200,200,23178.0024,No,Yes,No,5,0.6158,0.607,0.63,0.6018
LogisticRegression,CBoW200,200,11.25979,No,Yes,No,30,0.6109,0.6053,0.6096,0.6121
LDA,CBoW200,200,9.715278,No,Yes,No,30,0.6083,0.6018,0.6113,0.6052
QDA,CBoW200,200,5.339697,No,Yes,No,30,0.593,0.5798,0.6388,0.5482
MDA,CBoW200,200,104.60754,No,Yes,No,30,0.6057,0.5942,0.6359,0.5762
FDA,CBoW200,200,75.04386,No,Yes,No,30,0.5906,0.5809,0.6148,0.567
Tree,CBoW200,200,18.94551,No,Yes,No,30,0.5774,0.5722,0.5722,0.5824
RF,CBoW200,200,23406.1884,No,Yes,No,30,0.6175,0.6122,0.6154,0.6195
LogisticRegression,CBoW200,200,11.37337,No,Yes,No,60,0.6146,0.6061,0.6277,0.6018
LDA,CBoW200,200,9.537086,No,Yes,No,60,0.6149,0.6047,0.6365,0.5938
QDA,CBoW200,200,5.259655,No,Yes,No,60,0.5941,0.5796,0.6493,0.5402
MDA,CBoW200,200,96.83982,No,Yes,No,60,0.5947,0.5827,0.6318,0.5585
FDA,CBoW200,200,74.3892,No,Yes,No,60,0.5958,0.5809,0.6523,0.5408
Tree,CBoW200,200,18.80647,No,Yes,No,60,0.5831,0.5657,0.6721,0.4963
RF,CBoW200,200,23333.3964,No,Yes,No,60,0.6114,0.6081,0.6002,0.6224
LogisticRegression,CBoW200,200,11.13539,No,No,Yes,0,0.601,0.5993,0.5804,0.6212
LDA,CBoW200,200,9.641415,No,No,Yes,0,0.6042,0.6035,0.5792,0.6286
QDA,CBoW200,200,5.370973,No,No,Yes,0,0.5878,0.6292,0.4027,0.7684
MDA,CBoW200,200,103.70388,No,No,Yes,0,0.5967,0.5973,0.5634,0.6292
FDA,CBoW200,200,73.91838,No,No,Yes,0,0.6074,0.6057,0.588,0.6264
Tree,CBoW200,200,18.25339,No,No,Yes,0,0.586,0.5836,0.5652,0.6064
RF,CBoW200,200,23110.0992,No,No,Yes,0,0.6207,0.6131,0.6289,0.6127
LogisticRegression,CBoW200,200,11.38479,No,No,Yes,5,0.6025,0.5982,0.5944,0.6104
LDA,CBoW200,200,9.306139,No,No,Yes,5,0.6013,0.5965,0.5961,0.6064
QDA,CBoW200,200,5.591312,No,No,Yes,5,0.608,0.6074,0.5833,0.6321
MDA,CBoW200,200,93.8646,No,No,Yes,5,0.6057,0.6006,0.602,0.6092
FDA,CBoW200,200,74.36922,No,No,Yes,5,0.6088,0.6011,0.6184,0.5995
Tree,CBoW200,200,18.52357,No,No,Yes,5,0.5736,0.5654,0.5915,0.5562
RF,CBoW200,200,23151.42,No,No,Yes,5,0.612,0.6047,0.6195,0.6047
LogisticRegression,CBoW200,200,11.26179,No,No,Yes,30,0.6203,0.6173,0.6076,0.6326
LDA,CBoW200,200,9.711767,No,No,Yes,30,0.618,0.6146,0.607,0.6286
QDA,CBoW200,200,5.303188,No,No,Yes,30,0.6093,0.5966,0.6444,0.575
MDA,CBoW200,200,101.59596,No,No,Yes,30,0.6107,0.6024,0.6228,0.599
FDA,CBoW200,200,74.32062,No,No,Yes,30,0.6038,0.592,0.6357,0.5727
Tree,CBoW200,200,18.833,No,No,Yes,30,0.5874,0.5698,0.6708,0.506
RF,CBoW200,200,23237.8488,No,No,Yes,30,0.6157,0.6111,0.6094,0.6218
LogisticRegression,CBoW200,200,20.98337,No,No,Yes,60,0.627,0.6175,0.6425,0.6119
LDA,CBoW200,200,13.87903,No,No,Yes,60,0.627,0.6168,0.646,0.6084
QDA,CBoW200,200,8.311126,No,No,Yes,60,0.6094,0.593,0.6659,0.5542
MDA,CBoW200,200,137.3271,No,No,Yes,60,0.6163,0.6025,0.6554,0.5782
FDA,CBoW200,200,116.6418,No,No,Yes,60,0.6068,0.5947,0.6396,0.5748
Tree,CBoW200,200,29.03986,No,No,Yes,60,0.5955,0.597,0.5565,0.6336
RF,CBoW200,200,33643.5084,No,No,Yes,60,0.6316,0.6312,0.6109,0.6518
LogisticRegression,CBoW200,200,11.38192,No,No,No,0,0.6013,0.5976,0.5903,0.6121
